subject	word	time	count
Ted Cruz	damn	2015-08-06T20:30-0400	0
Ted Cruz	dick	2015-08-06T20:30-0400	0
Ted Cruz	douche	2015-08-06T20:30-0400	0
Ted Cruz	fuck	2015-08-06T20:30-0400	0
Ted Cruz	shit	2015-08-06T20:30-0400	0
Ben Carson	ass	2015-08-06T20:31-0400	0
Ben Carson	bitch	2015-08-06T20:31-0400	0
Ben Carson	damn	2015-08-06T20:31-0400	0
Ben Carson	dick	2015-08-06T20:31-0400	0
Ben Carson	douche	2015-08-06T20:31-0400	0
Ben Carson	fuck	2015-08-06T20:31-0400	0
Ben Carson	shit	2015-08-06T20:31-0400	0
Chris Christie	ass	2015-08-06T20:31-0400	0
Chris Christie	bitch	2015-08-06T20:31-0400	0
Chris Christie	damn	2015-08-06T20:31-0400	0
Chris Christie	dick	2015-08-06T20:31-0400	1
Chris Christie	douche	2015-08-06T20:31-0400	0
Chris Christie	fuck	2015-08-06T20:31-0400	0
Chris Christie	shit	2015-08-06T20:31-0400	0
Donald Trump	ass	2015-08-06T20:31-0400	1
Donald Trump	bitch	2015-08-06T20:31-0400	0
Donald Trump	damn	2015-08-06T20:31-0400	1
Donald Trump	dick	2015-08-06T20:31-0400	1
Donald Trump	douche	2015-08-06T20:31-0400	0
Donald Trump	fuck	2015-08-06T20:31-0400	4
Donald Trump	shit	2015-08-06T20:31-0400	4
Jeb Bush	ass	2015-08-06T20:31-0400	0
Jeb Bush	bitch	2015-08-06T20:31-0400	0
Jeb Bush	damn	2015-08-06T20:31-0400	0
Jeb Bush	dick	2015-08-06T20:31-0400	0
Jeb Bush	douche	2015-08-06T20:31-0400	0
Jeb Bush	fuck	2015-08-06T20:31-0400	1
Jeb Bush	shit	2015-08-06T20:31-0400	0
John Kasich	ass	2015-08-06T20:31-0400	0
John Kasich	bitch	2015-08-06T20:31-0400	0
John Kasich	damn	2015-08-06T20:31-0400	0
John Kasich	dick	2015-08-06T20:31-0400	0
John Kasich	douche	2015-08-06T20:31-0400	0
John Kasich	fuck	2015-08-06T20:31-0400	0
John Kasich	shit	2015-08-06T20:31-0400	0
Marco Rubio	ass	2015-08-06T20:31-0400	0
Marco Rubio	bitch	2015-08-06T20:31-0400	0
Marco Rubio	damn	2015-08-06T20:31-0400	0
Marco Rubio	dick	2015-08-06T20:31-0400	0
Marco Rubio	douche	2015-08-06T20:31-0400	0
Marco Rubio	fuck	2015-08-06T20:31-0400	0
Marco Rubio	shit	2015-08-06T20:31-0400	0
Mike Huckabee	ass	2015-08-06T20:31-0400	0
Mike Huckabee	bitch	2015-08-06T20:31-0400	0
Mike Huckabee	damn	2015-08-06T20:31-0400	0
Mike Huckabee	dick	2015-08-06T20:31-0400	0
Mike Huckabee	douche	2015-08-06T20:31-0400	0
Mike Huckabee	fuck	2015-08-06T20:31-0400	0
Mike Huckabee	shit	2015-08-06T20:31-0400	0
