subject	word	time	count
Hillary Clinton	shit	2015-10-13T21:45-0400	14
Jim Webb	ass	2015-10-13T21:45-0400	5
Jim Webb	bitch	2015-10-13T21:45-0400	0
Jim Webb	damn	2015-10-13T21:45-0400	4
Jim Webb	dick	2015-10-13T21:45-0400	3
Jim Webb	douche	2015-10-13T21:45-0400	0
Jim Webb	fuck	2015-10-13T21:45-0400	0
Jim Webb	shit	2015-10-13T21:45-0400	7
Lincoln Chafee	ass	2015-10-13T21:45-0400	0
Lincoln Chafee	bitch	2015-10-13T21:45-0400	0
Lincoln Chafee	damn	2015-10-13T21:45-0400	0
Lincoln Chafee	dick	2015-10-13T21:45-0400	0
Lincoln Chafee	douche	2015-10-13T21:45-0400	0
Lincoln Chafee	fuck	2015-10-13T21:45-0400	0
Lincoln Chafee	shit	2015-10-13T21:45-0400	1
Martin O'Malley	ass	2015-10-13T21:45-0400	1
Martin O'Malley	bitch	2015-10-13T21:45-0400	0
Martin O'Malley	damn	2015-10-13T21:45-0400	0
Martin O'Malley	dick	2015-10-13T21:45-0400	0
Martin O'Malley	douche	2015-10-13T21:45-0400	0
Martin O'Malley	fuck	2015-10-13T21:45-0400	1
Martin O'Malley	shit	2015-10-13T21:45-0400	0
Bernie Sanders	ass	2015-10-13T21:46-0400	0
Bernie Sanders	bitch	2015-10-13T21:46-0400	1
Bernie Sanders	damn	2015-10-13T21:46-0400	1
Bernie Sanders	dick	2015-10-13T21:46-0400	0
